id,name,type_1,type_2,division,location,constituency,latitude,longitude
225,NGEI PAG PRI SCH,MIXED,DAY ONLY,STAREHE,HURUMA,STAREHE,-1.2582,36.865654
226,AGA KHAN PRI SCH - DEAF UNIT,MIXED,DAY ONLY,WESTLANDS,HIGHRIDGE,WESTLANDS,-1.257817,36.824658
227,AGA KHAN PRI SCH,MIXED,DAY ONLY,WESTLANDS,HIGHRIDGE,WESTLANDS,-1.257817,36.824658
228,ST BAKHITA PRY SCH,MIXED,DAY ONLY,MAKADARA,MUKURUNYAYO,MAKADARA,-1.313663,36.837072
229,MUKURU PRI SCH - PRI,MIXED,DAY ONLY,MAKADARA,VIWANDA,MAKADARA,-1.309552,36.848193
230,KHALSA RACE COURSE ROAD PRI SCH,MIXED,DAY ONLY,STAREHE,STAREHE,STAREHE,-1.284225,36.829284
231,OUR LADY OF NAZARETH PRI SCH,MIXED,DAY ONLY,EMBAKASI,MUKURU KWA NJENGA,EMBAKASI,-1.311599,36.879587
232,PCEA KABETE EDUCATION CENTRE - PRI,MIXED,DAY ONLY,WESTLANDS,KANGEMI,WESTLANDS,-1.265616,36.73156
233,SINAI NON-FORMAL PRI SCH,MIXED,DAY ONLY,KASARANI,KARIOBANGI,KASARANI,-1.24121,36.891775
234,LORETO CONVENT VALLEY ROAD - PRI,GIRLS ONLY,DAY ONLY,WESTLANDS,KILIMANI,WESTLANDS,-1.289689,36.806983
235,EDEVALE PRI SCH,MIXED,DAY ONLY,EMBAKASI,UMOJA,EMBAKASI,-1.288651,36.905593
236,ISLAMIA PRI SCH,MIXED,DAY ONLY,STAREHE,STAREHE,STAREHE,-1.282459,36.832508
237,MUSLIM PRI SCH,MIXED,DAY ONLY,STAREHE,KARIOKOR,STAREHE,-1.27576,36.84217
